GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Column1
URN:CornellLabOfOrnithology:EBIRD:OBS563337268,1/3/2018 16:14,19073,species,American Crow,Corvus brachyrhynchos,,,4,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Maxwell AFB, Ala",L6657502,P,32.3849212,-86.3452243,1/2/2018,8:50:00 AM,obsr670353,S41567802,Traveling,P22,EBIRD,269,17.236,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS566343995,1/11/2018 13:40,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,US-AL-Pike Road-36064 - 32.3376x-85.9999,L5804136,P,32.337622,-85.99994,1/11/2018,12:21:00 PM,obsr231506,S41821507,Traveling,P22,EBIRD,19,0.805,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS571610540,1/27/2018 15:19,19073,species,American Crow,Corvus brachyrhynchos,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Waugh Park,L2063613,H,32.35617,-86.0475,1/27/2018,10:52:00 AM,obsr35725,S42276380,Traveling,P22,EBIRD,41,0.483,,1,1,,0,1,0,,Weather overcast with periods of very light rain; temp 60 F. Walked paved quarter mile trail loop within perimeter of park twice noting all birds detected. Large chorus of Pseudacris feriarum calling from shallow pool in adjacent forested wetland.,,
URN:CornellLabOfOrnithology:EBIRD:OBS572716949,1/30/2018 11:29,31039,species,American Goldfinch,Spinus tristis,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Home,L5282730,P,32.3804326,-86.2308741,1/30/2018,10:24:00 AM,obsr665305,S42365624,Stationary,P21,EBIRD,5,,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563085699,1/2/2018 9:30,31039,species,American Goldfinch,Spinus tristis,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Powder Magazine Park,L662313,H,32.3819367,-86.3316554,1/2/2018,7:18:00 AM,obsr670353,S41545128,Traveling,P22,EBIRD,71,3.042,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS573616620,5/1/2018 13:28,31039,species,American Goldfinch,Spinus tristis,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Pelzer AVE,L6811785,P,32.389025,-86.2544239,1/30/2018,9:00:00 AM,obsr1013387,S42440448,Stationary,P21,EBIRD,420,,,1,1,,0,1,0,,Back Yard Feeder,,
URN:CornellLabOfOrnithology:EBIRD:OBS563337272,1/3/2018 16:14,31039,species,American Goldfinch,Spinus tristis,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Maxwell AFB, Ala",L6657502,P,32.3849212,-86.3452243,1/2/2018,8:50:00 AM,obsr670353,S41567802,Traveling,P22,EBIRD,269,17.236,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563226619,1/9/2018 21:47,31039,species,American Goldfinch,Spinus tristis,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"4801-5085 Narrow Lane Road, Montgomery, Alabama, US (32.312, -86.282)",L6655649,P,32.3118441,-86.281822,1/2/2018,1:59:00 PM,obsr130801,S41557786,Traveling,P22,EBIRD,18,0.386,,2,1,G2836796,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563758212,1/9/2018 21:47,31039,species,American Goldfinch,Spinus tristis,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"4801-5085 Narrow Lane Road, Montgomery, Alabama, US (32.312, -86.282)",L6655649,P,32.3118441,-86.281822,1/2/2018,1:59:00 PM,obsr665305,S41604148,Traveling,P22,EBIRD,18,0.386,,2,1,G2836796,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563111012,1/6/2018 18:32,31039,species,American Goldfinch,Spinus tristis,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"4588-4988 Norman Bridge Road, Montgomery, Alabama, US (32.311, -86.296)",L6653584,P,32.3110495,-86.2963573,1/2/2018,8:54:00 AM,obsr130801,S41547367,Traveling,P22,EBIRD,39,1.448,,2,1,G2836769,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563757125,1/6/2018 18:32,31039,species,American Goldfinch,Spinus tristis,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"4588-4988 Norman Bridge Road, Montgomery, Alabama, US (32.311, -86.296)",L6653584,P,32.3110495,-86.2963573,1/2/2018,8:54:00 AM,obsr665305,S41604043,Traveling,P22,EBIRD,39,1.448,,2,1,G2836769,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS570152880,1/22/2018 10:18,31039,species,American Goldfinch,Spinus tristis,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Home,L5282730,P,32.3804326,-86.2308741,1/22/2018,9:08:00 AM,obsr665305,S42153715,Stationary,P21,EBIRD,10,,,1,1,,0,1,0,,Sun porch exercise bike 54 degrees overcast ,,
URN:CornellLabOfOrnithology:EBIRD:OBS563269946,1/3/2018 23:01,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"5304-5330 Norman Bridge Road, Montgomery, Alabama, US (32.28, -86.307)",L6656469,P,32.2803297,-86.3073583,1/2/2018,2:31:00 PM,obsr130801,S41561868,Incidental,P20,EBIRD,,,,2,0,G2836801,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563383230,1/2/2018 22:08,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Montgomery - Jackson Ferry Road,L1057070,P,32.4228988,-86.3043022,1/2/2018,3:37:00 PM,obsr136097,S41571407,Traveling,P22,EBIRD,20,0.402,,3,1,G2833084,0,1,0,,Montgomery CBC; weather clear with a few thin cirrus clouds and cold; temp 36 F. Walked roadside noting all birds detected. With John Trent and Ashley Peters.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563758360,1/3/2018 23:01,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"5304-5330 Norman Bridge Road, Montgomery, Alabama, US (32.28, -86.307)",L6656469,P,32.2803297,-86.3073583,1/2/2018,2:31:00 PM,obsr665305,S41604166,Incidental,P20,EBIRD,,,,2,0,G2836801,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS570795964,1/24/2018 15:48,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"2767–3095 Flowers Rd, Mathews US-AL (32.2558,-86.0013)",L6770998,P,32.255774,-86.001265,1/24/2018,2:22:00 PM,obsr665305,S42208558,Traveling,P22,EBIRD,8,2.228,,1,1,,0,1,0,,Driving and pausing ,,
URN:CornellLabOfOrnithology:EBIRD:OBS570796427,1/24/2018 15:50,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"1955–2199 Mathews Rd, Pike Road US-AL (32.2699,-86.0308)",L6771008,P,32.269869,-86.030791,1/24/2018,2:10:00 PM,obsr665305,S42208618,Traveling,P22,EBIRD,6,2.625,,1,1,,0,1,0,,Driving and pausing at ponds,,
URN:CornellLabOfOrnithology:EBIRD:OBS565766625,1/9/2018 13:58,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"744–770 Meriwether Rd, Pike Road US-AL (32.2698,-86.1584)",L6693571,P,32.269805,-86.158432,1/9/2018,12:42:00 PM,obsr665305,S41773315,Traveling,P22,EBIRD,15,2.764,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS571620411,1/30/2018 13:00,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"stakeout Tundra Swan, Pike Rd. (2018)",L6769689,H,32.262883,-86.081086,1/27/2018,12:15:00 PM,obsr35725,S42277177,Stationary,P21,EBIRD,3,,,1,1,,0,1,0,,Weather overcast and mild; temp 62 F. Made brief visit to see if TUSW was continuing at site. Noted all birds detected.,,
URN:CornellLabOfOrnithology:EBIRD:OBS566017456,1/10/2018 12:49,11581.83,species,American Kestrel,Falco sparverius,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Pond across from Hyundai,L6697468,P,32.2771551,-86.3337851,1/4/2018,11:05:00 AM,obsr231506,S41794846,Stationary,P21,EBIRD,5,,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563337275,1/3/2018 16:14,11581.83,species,American Kestrel,Falco sparverius,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Maxwell AFB, Ala",L6657502,P,32.3849212,-86.3452243,1/2/2018,8:50:00 AM,obsr670353,S41567802,Traveling,P22,EBIRD,269,17.236,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS570561125,1/23/2018 17:51,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"700–742 Meriwether Rd, Pike Road US-AL (32.2705,-86.1608)",L6767837,P,32.270485,-86.160754,1/23/2018,4:40:00 PM,obsr665305,S42187210,Traveling,P22,EBIRD,11,1.901,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563461801,1/3/2018 8:33,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Montgomery - Jackson Ferry Road,L1057070,P,32.4228988,-86.3043022,1/2/2018,3:37:00 PM,obsr228192,S41578271,Traveling,P22,EBIRD,20,0.402,,3,1,G2833084,0,1,0,,Montgomery CBC; weather clear with a few thin cirrus clouds and cold; temp 36 F. Walked roadside noting all birds detected. With John Trent and Ashley Peters.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563269482,1/2/2018 22:08,11581.83,species,American Kestrel,Falco sparverius,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Montgomery - Jackson Ferry Road,L1057070,P,32.4228988,-86.3043022,1/2/2018,3:37:00 PM,obsr35725,S41561819,Traveling,P22,EBIRD,20,0.402,,3,1,G2833084,0,1,0,,Montgomery CBC; weather clear with a few thin cirrus clouds and cold; temp 36 F. Walked roadside noting all birds detected. With John Trent and Ashley Peters.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563337312,1/3/2018 16:14,27669,species,American Pipit,Anthus rubescens,,,42,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"Maxwell AFB, Ala",L6657502,P,32.3849212,-86.3452243,1/2/2018,8:50:00 AM,obsr670353,S41567802,Traveling,P22,EBIRD,269,17.236,,1,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563757451,1/3/2018 22:57,27669,species,American Pipit,Anthus rubescens,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"3800 Davenport Drive, Montgomery, Alabama, US (32.332, -86.326)",L6653991,P,32.3318186,-86.3260112,1/2/2018,9:47:00 AM,obsr665305,S41604076,Traveling,P22,EBIRD,9,1.207,,1,1,G2836778,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563274737,1/3/2018 23:04,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"3800 Davenport Drive, Montgomery, Alabama, US (32.332, -86.326)",L6653991,P,32.3318186,-86.3260112,1/2/2018,4:08:00 PM,obsr130801,S41562348,Traveling,P22,EBIRD,3,0.756,,2,1,G2836816,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563136237,1/3/2018 22:57,27669,species,American Pipit,Anthus rubescens,,,2,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"3800 Davenport Drive, Montgomery, Alabama, US (32.332, -86.326)",L6653991,P,32.3318186,-86.3260112,1/2/2018,9:47:00 AM,obsr130801,S41549567,Traveling,P22,EBIRD,9,1.207,,1,1,G2836778,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563759108,1/3/2018 23:04,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"3800 Davenport Drive, Montgomery, Alabama, US (32.332, -86.326)",L6653991,P,32.3318186,-86.3260112,1/2/2018,4:08:00 PM,obsr665305,S41604223,Traveling,P22,EBIRD,3,0.756,,2,1,G2836816,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563269254,1/3/2018 23:02,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"1965 Hyundai Boulevard, Montgomery, Alabama, US (32.279, -86.342)",L6656455,P,32.2785202,-86.342095,1/2/2018,2:58:00 PM,obsr130801,S41561800,Traveling,P22,EBIRD,1,0.225,,2,1,G2836805,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563758522,1/3/2018 23:02,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"1965 Hyundai Boulevard, Montgomery, Alabama, US (32.279, -86.342)",L6656455,P,32.2785202,-86.342095,1/2/2018,2:58:00 PM,obsr665305,S41604182,Traveling,P22,EBIRD,1,0.225,,2,1,G2836805,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS568540423,1/20/2018 18:48,27669,species,American Pipit,Anthus rubescens,,,4,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,The Waters--Entrance Ponds,L4015014,H,32.3362785,-86.0345364,1/17/2018,3:36:00 PM,obsr35725,S42007257,Stationary,P21,EBIRD,11,,,1,1,,0,1,0,,Weather sunny and cold with a moderate NW wind over a snowy landscape; temp 29 F. Stopped along road noting all birds detected. With Ethan Soehren.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563075365,1/3/2018 22:54,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"East McLean Rd., Hope Hull",L1070027,H,32.2373067,-86.3624096,1/2/2018,7:40:00 AM,obsr130801,S41544185,Traveling,P22,EBIRD,14,1.191,,2,1,G2836757,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS570702337,1/25/2018 18:40,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"stakeout Tundra Swan, Pike Rd. (2018)",L6769689,H,32.262883,-86.081086,1/24/2018,8:10:00 AM,obsr35725,S42198226,Stationary,P21,EBIRD,23,,,2,1,G2891508,0,1,0,,Weather sunny with some thin high cirrus clouds and cold; temp 37 F. Follow up of reported TUSW noting all birds detected during visit.,Flyover calling,
URN:CornellLabOfOrnithology:EBIRD:OBS570751858,1/25/2018 18:40,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"stakeout Tundra Swan, Pike Rd. (2018)",L6769689,H,32.262883,-86.081086,1/24/2018,8:10:00 AM,obsr231506,S42204338,Stationary,P21,EBIRD,23,,,2,1,G2891508,0,1,0,,Weather sunny with some thin high cirrus clouds and cold; temp 37 F. Follow up of reported TUSW noting all birds detected during visit.,Flyover calling,
URN:CornellLabOfOrnithology:EBIRD:OBS563756546,1/3/2018 22:54,27669,species,American Pipit,Anthus rubescens,,,1,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"East McLean Rd., Hope Hull",L1070027,H,32.2373067,-86.3624096,1/2/2018,7:40:00 AM,obsr665305,S41603994,Traveling,P22,EBIRD,14,1.191,,2,1,G2836757,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563256229,1/3/2018 16:12,27669,species,American Pipit,Anthus rubescens,,,10,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Montgomery Landfill,L1056785,H,32.4115595,-86.3283026,1/2/2018,2:42:00 PM,obsr35725,S41560657,Traveling,P22,EBIRD,43,1.174,,3,1,G2833082,0,1,0,,Montgomery CBC; weather sunny and cold; temp 39 F. Walked roadside and bridge overlooking landfill noting all birds detected. With John Trent and Ashley Peters.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563461853,1/3/2018 16:12,27669,species,American Pipit,Anthus rubescens,,,10,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Montgomery Landfill,L1056785,H,32.4115595,-86.3283026,1/2/2018,2:42:00 PM,obsr228192,S41578277,Traveling,P22,EBIRD,43,1.174,,3,1,G2833082,0,1,0,,Montgomery CBC; weather sunny and cold; temp 39 F. Walked roadside and bridge overlooking landfill noting all birds detected. With John Trent and Ashley Peters.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563383173,1/3/2018 16:12,27669,species,American Pipit,Anthus rubescens,,,10,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,Montgomery Landfill,L1056785,H,32.4115595,-86.3283026,1/2/2018,2:42:00 PM,obsr136097,S41571405,Traveling,P22,EBIRD,43,1.174,,3,1,G2833082,0,1,0,,Montgomery CBC; weather sunny and cold; temp 39 F. Walked roadside and bridge overlooking landfill noting all birds detected. With John Trent and Ashley Peters.,,
URN:CornellLabOfOrnithology:EBIRD:OBS563111038,1/6/2018 18:32,27669,species,American Pipit,Anthus rubescens,,,3,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"4588-4988 Norman Bridge Road, Montgomery, Alabama, US (32.311, -86.296)",L6653584,P,32.3110495,-86.2963573,1/2/2018,8:54:00 AM,obsr130801,S41547367,Traveling,P22,EBIRD,39,1.448,,2,1,G2836769,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS563757151,1/6/2018 18:32,27669,species,American Pipit,Anthus rubescens,,,3,,,,United States,US,Alabama,US-AL,Montgomery,US-AL-101,,27,,,"4588-4988 Norman Bridge Road, Montgomery, Alabama, US (32.311, -86.296)",L6653584,P,32.3110495,-86.2963573,1/2/2018,8:54:00 AM,obsr665305,S41604043,Traveling,P22,EBIRD,39,1.448,,2,1,G2836769,0,1,0,,,,
